COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Chile,OCT2021,October 2021,2021,10,October,Oil,196.670997,9,2967.85961,1313.743415,0.0273884807816739
Slovenia,FEB2012,February 2012,2012,2,February,Fossil fuels,522.174,27,5034.788,991.879,0.4515166162410537
Sweden,AUG2012,August 2012,2012,8,August,Natural gas,40.103,10,865.211,1039.718,0.0034682322877611
India,AUG2018,August 2018,2018,8,August,Electricity trade,0.0,21,0.0,0.0,0.0
OECD Americas,JAN2011,January 2011,2011,1,January,Net electricity production,455912.922,14,5093816.908,449483.388,1.0
India,AUG2017,August 2017,2017,8,August,Renewables,27940.273973,22,244981.875789,154625.977063,0.2276590019877452
OECD Total,APR2022,April 2022,2022,4,April,Wind,100519.174077,2,1088516.524003,349380.712605,0.1223406987308637
Italy,OCT2019,October 2019,2019,10,October,Other renewables aggregated,2103.769407,25,24415.429468,19845.498316,0.0915741935238728
Republic of Turkiye,DEC2020,December 2020,2020,12,December,Non-renewables,18230.848873,23,167400.188419,159752.466191,0.6860626277321676
Portugal,APR2015,April 2015,2015,4,April,Electricity trade,-257.726,21,-2265.999,1911.866,-0.0685064703774626
Finland,APR2021,April 2021,2021,4,April,Total combustible fuels,1823.282712,7,22580.441434,8153.859029,0.3149507275617347
Croatia,DEC2016,December 2016,2016,12,December,Low carbon,695.878,26,8433.404,7611.559,0.6219654873766242
IEA Total,FEB2013,February 2013,2013,2,February,Total combustible fuels,522156.267,7,6354139.233,1129248.841,0.6199636323000421
OECD Total,APR2011,April 2011,2011,4,April,Non-renewables,610692.585,23,8310917.244,2769275.577,0.7789637202585501
Iceland,AUG2017,August 2017,2017,8,August,Geothermal,374.245,4,4944.154,3376.282,0.2406254480643939
Brazil,MAY2017,May 2017,2017,5,May,Oil,942.069,9,14672.043,7078.474,0.0197571582680356
New Zealand,NOV2014,November 2014,2014,11,November,Final consumption,3216.804,20,39383.411,35847.125,0.9337591480300168
Korea,MAY2019,May 2019,2019,5,May,Electricity supplied,43398.375984,17,559099.466998,235248.553598,1.0
OECD Americas,DEC2019,December 2019,2019,12,December,Electricity trade,4841.392745,21,33303.669464,2396.987001,0.0109870986124515
Malta,NOV2019,November 2019,2019,11,November,Combustible renewables,0.430919,11,6.19973,7.973516,0.0031788787288515
Estonia,SEP2019,September 2019,2019,9,September,Coal,327.095684,8,4549.248103,6800.62345,0.6802613898638575
Brazil,MAR2019,March 2019,2019,3,March,Geothermal,0.0,4,0.0,0.0,0.0
Canada,JUN2011,June 2011,2011,6,June,Wind,622.542,2,10086.001,3709.088,0.0138015321926122
Portugal,DEC2020,December 2020,2020,12,December,Final consumption,4440.683372,20,47958.456669,48945.199962,0.9041703873737096
Belgium,AUG2018,August 2018,2018,8,August,Total combustible fuels,2628.781654,7,31920.700002,20230.865,0.4791175146542135
United States,DEC2019,December 2019,2019,12,December,Other combustible non-renewables,893.875709,12,9843.220436,9272.061821,0.0026108045025063
Switzerland,APR2020,April 2020,2020,4,April,Hydro,2774.47817,1,40616.000002,10214.526072,0.521696428469269
Belgium,MAR2011,March 2011,2011,3,March,Electricity supplied,8050.795,17,89196.002,24302.855,1.1113203929516944
IEA Total,FEB2010,February 2010,2010,2,February,Used for pumped storage,6228.728,18,87420.908,,0.0074039647522271
Chile,NOV2018,November 2018,2018,11,November,Hydro,2667.6558,1,22899.124005,18319.608,0.4209582114886446
Sweden,NOV2013,November 2013,2013,11,November,Final consumption,11472.378,20,129341.044,117966.454,0.8850227335038418
Czech Republic,DEC2012,December 2012,2012,12,December,Used for pumped storage,88.736,18,981.809,943.979,0.0127156265673138
Iceland,DEC2018,December 2018,2018,12,December,Total imports,0.0,15,0.0,,0.0
Australia,NOV2019,November 2019,2019,11,November,Others,341.180406,24,4751.701503,3860.068236,0.0169366624693241
New Zealand,JAN2012,January 2012,2012,1,January,Final consumption,3144.296,20,39802.912,3180.973,0.929804312951422
Romania,DEC2019,December 2019,2019,12,December,Wind,747.815817,2,6703.349,6257.504999,0.1546145758360651
Slovak Republic,SEP2014,September 2014,2014,9,September,Other renewables aggregated,94.5,25,1236.473,658.571,0.0462660144056212
Netherlands,DEC2020,December 2020,2020,12,December,Geothermal,0.0,4,0.0,0.0,0.0
Germany,JUL2010,July 2010,2010,7,July,Natural gas,4999.519,10,83821.136,,0.1102974372704599
New Zealand,MAY2014,May 2014,2014,5,May,Coal,154.545,8,1831.296,1224.875,0.0430208848030175
Slovak Republic,AUG2014,August 2014,2014,8,August,Other renewables aggregated,76.056,25,1236.473,601.169,0.0344288275792762
OECD Total,MAR2011,March 2011,2011,3,March,Nuclear,186715.177,6,2047769.956,564841.258,0.2121568771693542
OECD Americas,DEC2020,December 2020,2020,12,December,Other combustible non-renewables,881.408792,12,9978.600381,10109.676074,0.0019626719141947
OECD Americas,SEP2012,September 2012,2012,9,September,Coal,137911.484,8,1662814.149,1468907.353,0.3349012611408959
Switzerland,FEB2019,February 2019,2019,2,February,Wind,13.895238,2,145.899999,28.42,0.0029219307530737
New Zealand,OCT2012,October 2012,2012,10,October,Solar,0.417,3,4.775,3.231,0.0001161834651147
Austria,AUG2020,August 2020,2020,8,August,Coal,149.496689,8,2254.07255,2255.816261,0.0258332384701119
Denmark,JAN2020,January 2020,2020,1,January,Electricity supplied,3549.76433,17,35196.927005,3181.294919,0.973279985542208
Hungary,JUN2010,June 2010,2010,6,June,Electricity trade,-714.0,21,-5195.0,,-0.2869131440778153
OECD Americas,SEP2011,September 2011,2011,9,September,Coal,153210.688,8,1886093.45,1527038.831,0.36915025308713
New Zealand,JUL2013,July 2013,2013,7,July,Others,3.772,24,47.641,21.566,0.0009875040938746
Austria,MAY2015,May 2015,2015,5,May,Natural gas,159.135,10,7271.462,2470.922,0.0257608545736747
IEA Total,DEC2019,December 2019,2019,12,December,Nuclear,166485.014139,6,1891313.59427,1867209.419954,0.1848946063486852
Belgium,AUG2017,August 2017,2017,8,August,Low carbon,5400.853,26,57218.852,40755.453,0.7642889195468143
Austria,JUN2014,June 2014,2014,6,June,Oil,54.905,9,632.721,343.366,0.0105557895732523
Lithuania,OCT2020,October 2020,2020,10,October,Others,36.44304,24,434.957617,288.516804,0.0898878982989559
OECD Americas,APR2021,April 2021,2021,4,April,Nuclear,65117.856508,6,877290.766866,299528.984566,0.1666000806109321
United Kingdom,JUL2020,July 2020,2020,7,July,Other renewables aggregated,3345.026366,25,37430.202093,19947.848081,0.1427595661184488
France,SEP2016,September 2016,2016,9,September,Wind,1024.606,2,21380.983,14858.835,0.0276487367035343
Ireland,OCT2021,October 2021,2021,10,October,Oil,178.456421,9,1082.190796,323.802076,0.0599154173145672
Norway,JUL2013,July 2013,2013,7,July,Non-renewables,299.812,23,3096.008,1661.762,0.0309540198401337
Latvia,JUN2011,June 2011,2011,6,June,Total imports,445.111,15,4009.0,1324.0,1.7209673677698731
Brazil,JUN2020,June 2020,2020,6,June,Hydro,29289.585451,1,392363.94384,218556.20236,0.6279619000185248
